Hora,DPN,FPM
18:15:28,155.66,-6.01
18:15:29,155.66,-6.01
18:15:30,155.66,-6.01
18:15:31,155.66,-6.01
18:15:32,155.84,-6.01
18:15:33,155.66,-6.01
18:15:34,155.66,-6.01
18:15:35,155.66,-6.01
18:15:36,155.66,-6.18
18:15:37,155.66,-6.18
18:15:38,155.66,-6.01
18:15:39,155.66,-6.01
18:15:40,155.84,-6.01
18:15:41,155.66,-6.01
18:15:42,155.66,-6.18
18:15:43,155.66,-6.01
18:15:44,155.66,-6.01
18:15:45,155.84,-6.01
18:15:46,155.66,-6.01
18:15:48,155.84,-6.01
18:15:49,155.66,-6.01
18:15:50,155.66,-6.01
18:15:51,155.66,-6.01
18:15:52,155.84,-6.01
18:15:53,155.66,-6.01
18:15:54,155.66,-6.01
18:15:55,155.66,-6.01
18:15:56,155.84,-6.01
18:15:57,155.66,-6.01
18:15:58,155.66,-6.01
18:15:59,155.66,-6.01
18:16:00,155.66,-6.01
18:16:01,155.66,-6.01
18:16:02,155.66,-6.01
18:16:03,155.66,-6.01
18:16:04,155.84,-6.01
18:16:05,155.66,-6.01
18:16:06,155.66,-6.01
18:16:07,155.66,-6.01
18:16:08,155.66,-6.01
18:16:09,155.66,-6.01
18:16:10,155.66,-6.01
18:16:12,155.66,-6.01
18:16:13,155.66,-6.01
18:16:14,155.66,-6.01
18:16:15,155.66,-6.01
18:16:16,155.66,-6.01
18:16:17,155.66,-6.01
18:16:18,155.66,-6.01
18:16:19,155.84,-6.01
18:16:20,155.66,-6.01
18:16:21,155.66,-6.01
18:16:22,155.66,-6.01
18:16:23,155.84,-6.01
18:16:24,155.66,-6.01
18:16:25,155.66,-6.01
18:16:26,155.66,-6.01
18:16:27,155.66,-6.01
18:16:28,155.66,-6.01
18:16:29,155.66,-6.01
18:16:30,155.66,-6.01
18:16:31,155.66,-6.01
18:16:32,155.66,-6.01
18:16:33,155.84,-6.01
18:16:35,155.66,-6.01
18:16:36,155.66,-6.01
18:16:37,155.66,-6.01
18:16:38,155.66,-6.01
18:16:39,155.66,-6.01
18:16:40,155.66,-6.01
18:16:41,155.84,-6.01
18:16:42,155.66,-6.01
18:16:43,155.66,-6.01
18:16:44,155.66,-6.18
18:16:45,155.66,-6.01
18:16:46,155.84,-6.01
18:16:47,155.66,-6.01
18:16:48,155.66,-6.01
18:16:49,155.84,-6.01
18:16:50,155.84,-6.01
18:16:51,155.66,-6.01
18:16:52,155.66,-6.01
18:16:53,155.66,-6.01
18:16:54,155.66,-6.01
18:16:55,155.66,-6.01
18:16:56,155.66,-6.01
18:16:57,155.66,-6.01
18:16:59,155.66,-6.01
18:17:00,155.66,-6.01
18:17:01,155.84,-6.01
18:17:02,155.66,-6.01
18:17:03,155.66,-6.01
18:17:04,155.84,-6.01
18:17:05,155.66,-6.01
18:17:06,155.66,-6.18
18:17:07,155.84,-6.01
18:17:08,155.66,-6.01
18:17:09,155.66,-6.01
18:17:10,155.66,-6.01
18:17:11,155.66,-6.01
18:17:12,155.66,-6.01
18:17:13,155.66,-6.01
18:17:14,155.66,-6.01
18:17:15,155.66,-6.01
18:17:16,155.66,-6.01
18:17:17,155.66,-6.01
18:17:18,155.66,-6.01
18:17:19,155.66,-6.01
18:17:21,155.84,-6.01
18:17:22,155.66,-6.01
18:17:23,155.66,-6.01
18:17:24,155.66,-6.01
18:17:25,155.84,-6.01
18:17:26,155.84,-6.01
18:17:27,155.66,-6.01
18:17:28,155.66,-6.01
18:17:29,155.66,-6.01
18:17:30,155.66,-6.01
18:17:31,155.84,-6.01
18:17:32,155.66,-6.01
18:17:33,155.66,-6.01
18:17:34,155.66,-6.01
18:17:35,155.66,-6.01
