Hora,DPN,FPM
14:54:07,2.24,-6.01
14:54:08,2.07,-6.01
14:54:09,1.71,-6.01
14:54:10,2.07,-6.01
14:54:11,1.36,-6.01
14:54:12,1.71,-6.01
14:54:13,1.89,-6.01
14:54:14,2.24,-6.01
14:54:15,2.24,-6.01
14:54:16,2.42,-6.01
14:54:17,1.54,-6.01
14:54:18,1.36,-6.01
14:54:19,2.24,-6.01
14:54:20,2.42,-6.01
14:54:21,2.07,-6.01
14:54:22,2.42,-6.01
14:54:23,2.78,-6.01
14:54:24,2.07,-6.01
14:54:25,2.07,-6.01
14:54:27,2.42,-6.01
14:54:28,1.71,-6.01
14:54:29,1.89,-6.01
14:54:30,2.24,-6.01
14:54:31,2.42,-6.01
14:54:32,2.07,-6.01
14:54:33,1.71,-6.01
14:54:34,2.42,-6.01
14:54:35,2.42,-6.01
14:54:36,2.78,-6.01
14:54:37,1.36,-6.01
14:54:38,2.24,-6.01
14:54:39,1.36,-6.01
14:54:40,1.71,-6.01
14:54:41,1.36,-6.01
14:54:42,1.54,-6.01
14:54:43,2.78,-6.01
14:54:44,2.78,-6.01
14:54:45,2.07,-6.01
14:54:46,2.6,-6.01
14:54:47,1.89,-6.01
14:54:48,1.89,-6.18
14:54:49,2.78,-6.01
14:54:51,1.36,-6.01
14:54:52,2.78,-6.01
14:54:53,2.07,-6.01
14:54:54,1.71,-6.01
14:54:55,2.07,-6.01
14:54:56,1.89,-6.01
14:54:57,2.07,-6.01
14:54:58,2.78,-6.01
14:54:59,2.78,-6.01
14:55:00,2.78,-6.01
14:55:01,2.78,-6.01
14:55:02,2.6,-6.01
14:55:03,2.42,-6.01
14:55:04,2.78,-6.01
14:55:05,2.24,-6.01
14:55:06,1.18,-6.01
14:55:07,2.42,-6.01
14:55:08,1.36,-6.01
14:55:09,2.42,-6.01
14:55:10,2.24,-6.01
14:55:11,1.71,-6.01
14:55:13,1.54,-6.01
14:55:14,1.18,-6.01
14:55:15,2.24,-6.01
14:55:16,2.78,-6.01
14:55:17,1.54,-6.01
14:55:18,2.07,-6.01
14:55:19,1.01,-6.01
14:55:20,1.36,-6.01
14:55:21,2.6,-6.01
14:55:22,2.24,-6.01
14:55:23,2.6,-6.01
14:55:24,2.78,-6.01
14:55:25,2.78,-6.01
14:55:26,2.78,-6.01
14:55:27,2.24,-6.01
14:55:28,2.42,-6.01
14:55:29,1.54,-6.01
14:55:30,2.07,-6.01
14:55:31,2.07,-6.01
14:55:32,1.71,-6.01
14:55:33,2.6,-6.01
14:55:34,1.89,-6.01
14:55:35,2.24,-6.01
14:55:37,2.42,-6.01
14:55:38,2.42,-6.01
14:55:39,1.71,-6.01
14:55:40,1.71,-6.01
14:55:41,1.54,-6.01
14:55:42,2.42,-6.01
14:55:43,1.36,-6.01
14:55:44,2.78,-6.01
14:55:45,1.71,-6.01
14:55:46,1.71,-6.01
14:55:47,2.6,-6.01
14:55:48,2.07,-6.01
14:55:49,2.24,-6.01
14:55:50,2.24,-6.01
14:55:51,1.54,-6.01
14:55:52,2.42,-6.01
14:55:53,2.6,-6.01
14:55:54,1.71,-6.01
14:55:55,2.78,-6.01
14:55:56,1.89,-6.01
14:55:57,1.71,-6.01
14:55:58,2.6,-6.01
14:56:00,1.18,-6.01
14:56:01,2.6,-6.01
14:56:02,2.24,-6.01
14:56:03,1.36,-6.01
14:56:04,2.07,-6.01
14:56:05,2.07,-6.01
14:56:06,1.01,-6.01
14:56:07,2.24,-6.01
14:56:08,1.89,-6.01
14:56:09,2.24,-6.01
14:56:10,2.6,-6.01
14:56:11,2.07,-6.01
14:56:12,1.89,-6.01
14:56:13,2.42,-6.18
14:56:14,2.42,-6.01
14:56:15,2.6,-6.01
14:56:16,2.78,-6.01
14:56:17,2.42,-6.01
14:56:18,2.6,-6.01
14:56:19,2.78,-6.01
14:56:20,2.42,-6.01
14:56:21,1.89,-6.01
14:56:22,2.6,-6.01
14:56:24,1.36,-6.01
14:56:25,1.89,-6.01
14:56:26,1.18,-6.01
14:56:27,1.18,-6.01
14:56:28,2.24,-6.01
14:56:29,2.07,-6.01
14:56:30,1.18,-6.01
14:56:31,2.6,-6.01
14:56:32,2.42,-6.01
14:56:33,2.07,-6.01
14:56:34,1.71,-6.01
14:56:35,1.36,-6.01
14:56:36,2.42,-6.01
14:56:37,2.24,-6.01
14:56:38,2.78,-6.01
14:56:39,2.6,-6.01
14:56:40,2.24,-6.01
14:56:41,2.78,-6.01
14:56:42,1.18,-6.01
14:56:43,1.36,-6.01
14:56:44,2.42,-6.01
14:56:46,2.78,-6.01
14:56:47,1.54,-6.01
14:56:48,2.24,-6.01
14:56:49,2.6,-6.01
14:56:50,2.78,-6.01
14:56:51,2.07,-6.01
14:56:52,1.89,-6.01
14:56:53,1.36,-6.01
14:56:54,1.36,-6.01
14:56:55,2.07,-6.01
14:56:56,1.71,-6.01
14:56:57,2.78,-6.01
14:56:58,2.24,-6.01
14:56:59,2.07,-6.01
14:57:00,1.54,-6.01
14:57:01,2.42,-6.01
14:57:02,2.78,-6.01
14:57:03,2.78,-6.01
14:57:04,2.07,-6.01
14:57:05,2.42,-6.01
14:57:06,1.71,-6.01
14:57:07,1.89,-6.01
14:57:08,1.36,-6.01
14:57:10,1.89,-6.01
14:57:11,2.24,-6.01
14:57:12,2.6,-6.01
14:57:13,2.6,-6.01
14:57:14,2.24,-6.01
14:57:15,2.6,-6.01
14:57:16,1.36,-6.01
14:57:17,2.24,-6.01
14:57:18,1.01,-6.01
14:57:19,2.78,-6.01
14:57:20,2.07,-6.01
14:57:21,1.71,-6.18
14:57:22,2.78,-6.01
14:57:23,1.36,-6.01
14:57:24,2.78,-6.01
14:57:25,2.42,-6.01
14:57:26,2.42,-6.01
14:57:27,1.18,-6.01
14:57:28,2.24,-6.01
14:57:29,2.24,-6.18
14:57:30,2.07,-6.01
14:57:31,2.07,-6.01
14:57:33,2.07,-6.01
14:57:34,2.6,-6.01
14:57:35,1.71,-6.01
14:57:36,2.78,-6.01
14:57:37,2.78,-6.01
14:57:38,2.07,-6.01
14:57:39,1.89,-6.01
14:57:40,2.78,-6.01
14:57:41,1.36,-6.01
14:57:42,1.89,-6.01
14:57:43,1.71,-6.01
14:57:44,2.78,-6.01
14:57:45,1.36,-6.01
14:57:46,2.6,-6.01
14:57:47,1.36,-6.01
14:57:48,2.24,-6.01
14:57:49,2.24,-6.01
14:57:50,2.78,-6.01
14:57:51,1.71,-6.01
14:57:52,1.54,-6.01
14:57:53,1.36,-6.01
14:57:54,1.36,-6.18
14:57:55,1.89,-6.01
14:57:57,2.78,-6.01
14:57:58,2.6,-6.01
14:57:59,2.6,-6.01
14:58:00,2.6,-6.01
14:58:01,2.6,-6.01
14:58:02,2.42,-6.01
14:58:03,2.6,-6.01
14:58:04,1.89,-6.01
14:58:05,1.54,-6.01
14:58:06,1.54,-6.01
14:58:07,2.78,-6.01
14:58:08,2.6,-6.01
14:58:09,2.42,-6.01
14:58:10,2.42,-6.01
14:58:11,1.36,-6.01
14:58:12,1.71,-6.01
14:58:13,2.24,-6.01
14:58:14,2.24,-6.01
14:58:15,2.42,-6.01
14:58:16,2.07,-6.01
14:58:17,2.07,-6.18
14:58:18,1.54,-6.01
14:58:20,2.78,-6.01
14:58:21,2.42,-6.01
14:58:22,1.71,-6.18
14:58:23,2.07,-6.01
14:58:24,2.42,-6.01
14:58:25,1.89,-6.01
14:58:26,1.89,-6.01
14:58:27,2.24,-6.01
14:58:28,1.89,-6.01
14:58:29,2.6,-6.01
14:58:30,2.24,-6.01
14:58:31,1.54,-6.01
14:58:32,2.6,-6.01
14:58:33,2.6,-6.01
14:58:34,2.6,-6.01
14:58:35,1.89,-6.01
14:58:36,2.07,-6.01
14:58:37,3.48,-6.01
14:58:38,4.37,-6.01
14:58:39,2.95,-6.01
14:58:40,2.07,-6.01
14:58:41,1.36,-6.01
14:58:43,2.6,-6.01
14:58:44,2.24,-6.01
14:58:45,4.01,-6.01
14:58:46,3.84,-6.01
14:58:47,2.78,-6.01
14:58:48,1.01,-6.01
14:58:49,2.42,-6.01
14:58:50,2.78,-6.01
14:58:51,3.66,-6.18
14:58:52,2.78,-6.01
14:58:53,2.78,-6.01
14:58:54,2.6,-6.01
14:58:55,2.95,-6.01
14:58:56,3.13,-6.01
14:58:57,3.48,-6.01
14:58:58,2.6,-6.01
14:58:59,2.6,-6.01
14:59:00,2.6,-6.01
14:59:01,3.13,-6.01
14:59:02,2.95,-6.01
14:59:03,3.13,-6.01
14:59:04,2.78,-6.01
14:59:06,2.6,-6.01
14:59:07,2.78,-6.01
14:59:08,2.07,-6.01
14:59:09,2.6,-6.01
14:59:10,3.13,-6.01
14:59:11,2.95,-6.01
14:59:12,2.42,-6.01
14:59:13,2.78,-6.01
14:59:14,2.42,-6.18
14:59:15,3.13,-6.01
14:59:16,2.95,-6.01
14:59:17,1.71,-6.01
14:59:18,2.78,-6.01
14:59:19,2.07,-6.01
14:59:20,2.95,-6.01
14:59:21,2.07,-6.01
14:59:22,1.71,-6.18
14:59:23,2.42,-6.01
14:59:24,1.54,-6.01
14:59:25,2.42,-6.01
14:59:26,2.95,-6.01
14:59:27,2.95,-6.01
14:59:28,2.24,-6.01
14:59:30,1.89,-6.01
14:59:31,2.78,-6.01
14:59:32,1.71,-6.01
14:59:33,2.42,-6.01
14:59:34,2.6,-6.01
14:59:35,2.95,-6.01
14:59:36,2.78,-6.01
14:59:37,2.78,-6.01
14:59:38,2.78,-6.01
14:59:39,2.78,-6.01
14:59:40,2.78,-6.01
14:59:41,2.95,-6.01
14:59:42,2.78,-6.01
14:59:43,2.78,-6.01
14:59:44,2.42,-6.01
14:59:45,2.24,-6.01
14:59:46,2.42,-6.01
14:59:47,2.95,-6.01
14:59:48,1.54,-6.01
