Hora,DPN,FPM
16:53:39,3.13,-6.01
16:53:40,3.66,-6.18
16:53:41,2.95,-6.01
16:53:42,3.48,-6.01
16:53:43,3.66,-6.01
16:53:44,3.66,-6.01
16:53:45,3.31,-6.01
16:53:46,3.66,-6.01
16:53:47,2.78,-6.01
16:53:48,3.31,-6.01
16:53:49,2.78,-6.01
16:53:50,2.78,-6.18
16:53:51,3.66,-6.01
16:53:52,2.6,-6.01
16:53:53,3.48,-6.01
16:53:54,2.78,-6.01
16:53:56,2.24,-6.01
16:53:57,2.6,-6.01
16:53:58,3.31,-6.01
16:53:59,3.84,-6.01
16:54:00,2.6,-6.01
16:54:01,2.42,-6.01
16:54:02,2.42,-6.01
16:54:03,2.24,-6.18
16:54:04,3.13,-6.01
16:54:05,2.78,-6.01
16:54:06,3.48,-6.01
16:54:07,3.13,-6.01
16:54:08,2.78,-6.01
16:54:09,3.31,-6.01
16:54:10,2.07,-6.01
16:54:11,2.42,-6.01
16:54:12,3.66,-6.01
16:54:13,2.78,-6.01
16:54:14,2.78,-6.01
16:54:15,2.78,-6.01
16:54:16,2.78,-6.01
16:54:17,2.6,-6.18
16:54:18,3.31,-6.01
16:54:20,2.78,-6.01
16:54:21,2.78,-6.18
16:54:22,3.48,-6.18
16:54:23,2.6,-6.18
16:54:24,2.07,-6.01
16:54:25,2.24,-6.01
16:54:26,3.66,-6.01
16:54:27,2.07,-6.01
16:54:28,3.13,-6.01
16:54:29,2.78,-6.01
16:54:30,3.13,-6.01
16:54:31,2.78,-6.01
16:54:32,3.66,-6.01
16:54:33,2.95,-6.01
16:54:34,2.42,-6.01
16:54:35,3.31,-6.01
16:54:36,3.66,-6.01
16:54:37,2.42,-6.01
16:54:38,3.66,-6.18
16:54:39,3.48,-6.01
16:54:40,3.48,-6.01
16:54:41,3.31,-6.01
16:54:43,3.31,-6.01
16:54:44,2.78,-6.01
16:54:45,3.66,-6.01
16:54:46,2.42,-6.18
16:54:47,3.13,-6.01
16:54:48,2.42,-6.01
16:54:49,2.07,-6.18
16:54:50,3.48,-6.01
16:54:51,2.95,-6.01
16:54:52,3.13,-6.01
16:54:53,2.42,-6.01
16:54:54,3.13,-6.01
16:54:55,2.6,-6.18
16:54:56,2.78,-6.18
16:54:57,2.78,-6.01
16:54:58,3.13,-6.18
16:54:59,3.31,-6.01
16:55:00,2.07,-6.01
16:55:01,2.78,-6.01
16:55:02,2.24,-6.01
16:55:03,2.95,-6.18
16:55:04,2.95,-6.01
16:55:06,2.95,-6.01
16:55:07,2.24,-6.01
16:55:08,2.78,-6.01
16:55:09,2.42,-6.01
16:55:10,3.13,-6.01
16:55:11,2.24,-6.01
16:55:12,2.78,-6.01
16:55:13,2.24,-6.01
16:55:14,3.66,-6.01
16:55:15,2.07,-6.01
16:55:16,3.48,-6.01
16:55:17,2.95,-6.01
16:55:18,2.07,-6.01
16:55:19,2.95,-6.01
16:55:20,2.6,-6.01
16:55:21,2.42,-6.01
16:55:22,3.13,-6.01
16:55:23,3.31,-6.01
16:55:24,2.95,-6.01
16:55:25,3.31,-6.01
16:55:26,2.07,-6.01
16:55:27,2.24,-6.01
16:55:29,2.07,-6.01
16:55:30,2.6,-6.01
16:55:31,3.31,-6.01
16:55:32,2.07,-6.18
16:55:33,2.78,-6.01
16:55:34,2.42,-6.01
16:55:35,3.31,-6.01
16:55:36,2.07,-6.01
16:55:37,2.24,-6.01
16:55:38,2.42,-6.01
16:55:39,1.71,-6.01
16:55:40,2.42,-6.01
16:55:41,2.95,-6.01
16:55:42,3.66,-6.01
16:55:43,3.66,-6.01
16:55:44,2.42,-6.01
16:55:45,3.66,-6.01
16:55:46,2.95,-6.18
16:55:47,2.24,-6.01
16:55:48,2.07,-6.01
16:55:49,2.07,-6.01
16:55:50,3.48,-6.01
16:55:51,2.07,-6.01
16:55:53,2.95,-6.01
16:55:54,2.24,-6.18
16:55:55,2.6,-6.01
16:55:56,2.6,-6.01
16:55:57,3.31,-6.01
16:55:58,3.48,-6.01
16:55:59,3.66,-6.18
16:56:00,2.95,-6.18
16:56:01,2.07,-6.01
16:56:02,2.95,-6.01
16:56:03,2.07,-6.18
16:56:04,2.07,-6.18
16:56:05,3.31,-6.01
16:56:06,2.42,-6.01
16:56:07,2.07,-6.01
16:56:08,3.13,-6.01
16:56:09,2.42,-6.01
16:56:10,2.95,-6.01
16:56:11,2.42,-6.18
16:56:12,2.6,-6.01
16:56:13,2.07,-6.01
16:56:14,2.24,-6.01
16:56:16,2.24,-6.01
16:56:17,2.6,-6.18
16:56:18,2.07,-6.01
16:56:19,2.07,-6.01
16:56:20,2.6,-6.01
16:56:21,2.07,-6.01
16:56:22,2.07,-6.01
16:56:23,2.24,-6.01
16:56:24,3.48,-6.18
16:56:25,2.24,-6.01
16:56:26,2.07,-6.01
16:56:27,2.24,-6.01
16:56:28,3.31,-6.01
16:56:29,2.24,-6.01
16:56:30,1.89,-6.01
16:56:31,2.42,-6.18
16:56:32,3.13,-6.01
16:56:33,2.78,-6.18
16:56:34,2.24,-6.01
16:56:35,3.31,-6.18
16:56:36,3.66,-6.01
16:56:37,2.6,-6.01
16:56:38,3.31,-6.01
16:56:40,2.42,-6.01
16:56:41,2.07,-6.01
16:56:42,3.48,-6.01
16:56:43,2.07,-6.01
16:56:44,2.42,-6.01
16:56:45,2.24,-6.01
16:56:46,2.6,-6.01
16:56:47,2.07,-6.01
16:56:48,2.95,-6.18
16:56:49,2.6,-6.01
16:56:50,2.24,-6.01
16:56:51,3.48,-6.18
16:56:52,2.24,-6.01
16:56:53,3.48,-6.01
16:56:54,1.89,-6.01
16:56:55,3.13,-6.01
16:56:56,1.89,-6.01
16:56:57,3.31,-6.01
16:56:58,2.78,-6.01
16:56:59,2.07,-6.01
16:57:00,2.42,-6.01
16:57:02,2.78,-6.01
16:57:03,2.24,-6.18
16:57:04,2.6,-6.01
16:57:05,2.6,-6.01
16:57:06,2.24,-6.01
16:57:07,2.42,-6.01
16:57:08,1.54,-6.18
16:57:09,2.24,-6.18
16:57:10,2.07,-6.18
16:57:11,3.13,-6.01
16:57:12,2.07,-6.01
16:57:13,2.07,-6.01
16:57:14,2.07,-6.01
16:57:15,2.07,-6.01
16:57:16,2.42,-6.01
16:57:17,2.42,-6.18
16:57:18,3.13,-6.01
16:57:19,2.6,-6.18
16:57:20,1.89,-6.18
16:57:21,2.07,-6.01
16:57:22,2.07,-6.01
16:57:23,2.78,-6.01
16:57:24,2.07,-6.01
16:57:26,2.07,-6.18
16:57:27,2.07,-6.01
16:57:28,2.42,-6.18
16:57:29,2.6,-6.01
16:57:30,2.42,-6.01
16:57:31,2.42,-6.01
16:57:32,2.78,-6.01
16:57:33,2.24,-6.01
16:57:34,2.07,-6.01
16:57:35,3.13,-6.01
16:57:36,2.78,-6.18
16:57:37,2.07,-6.01
16:57:38,2.6,-6.18
16:57:39,2.24,-6.01
16:57:40,2.24,-6.01
16:57:41,2.95,-6.01
16:57:42,2.07,-6.01
16:57:43,2.07,-6.01
16:57:44,2.6,-6.18
16:57:45,2.24,-6.01
16:57:46,2.07,-6.01
16:57:47,2.42,-6.18
16:57:49,1.54,-6.01
16:57:50,3.13,-6.01
16:57:51,2.07,-6.01
16:57:52,2.24,-6.01
16:57:53,1.89,-6.01
16:57:54,2.07,-6.18
16:57:55,2.07,-6.01
16:57:56,2.07,-6.01
16:57:57,2.24,-6.01
16:57:58,2.78,-6.01
16:57:59,2.24,-6.18
16:58:00,2.07,-6.01
16:58:01,2.6,-6.01
16:58:02,3.13,-6.01
16:58:03,2.07,-6.01
16:58:04,2.95,-6.01
16:58:05,2.07,-6.01
16:58:06,3.13,-6.18
16:58:07,2.78,-6.18
16:58:08,2.07,-6.18
16:58:09,2.24,-6.01
16:58:10,3.48,-6.01
16:58:11,2.07,-6.01
16:58:13,3.13,-6.01
16:58:14,3.13,-6.18
16:58:15,2.07,-6.01
16:58:16,2.24,-6.18
16:58:17,2.24,-6.01
16:58:18,2.6,-6.01
16:58:19,2.78,-6.01
16:58:20,2.07,-6.01
16:58:21,2.24,-6.01
16:58:22,2.07,-6.18
16:58:23,2.42,-6.01
16:58:24,2.07,-6.01
16:58:25,2.24,-6.18
16:58:26,2.24,-6.01
16:58:27,2.78,-6.18
16:58:28,2.95,-6.01
16:58:29,2.07,-6.01
16:58:30,2.42,-6.01
16:58:31,2.6,-6.18
16:58:32,1.89,-6.01
16:58:33,2.24,-6.01
16:58:34,2.42,-6.01
16:58:36,2.24,-6.01
16:58:37,2.07,-6.18
16:58:38,2.6,-6.01
16:58:39,2.07,-6.18
16:58:40,2.07,-6.01
16:58:41,2.42,-6.01
16:58:42,2.07,-6.01
16:58:43,2.95,-6.01
16:58:44,2.07,-6.01
16:58:45,2.07,-6.01
16:58:46,2.6,-6.01
16:58:47,2.07,-6.01
16:58:48,2.07,-6.01
16:58:49,2.42,-6.01
16:58:50,2.6,-6.01
16:58:51,2.07,-6.01
16:58:52,2.6,-6.01
16:58:53,1.89,-6.01
16:58:54,2.6,-6.18
16:58:55,2.6,-6.01
16:58:56,2.6,-6.01
16:58:57,2.95,-6.01
16:58:59,2.6,-6.01
16:59:00,2.07,-6.01
16:59:01,2.95,-6.18
16:59:02,3.48,-6.01
16:59:03,2.07,-6.18
16:59:04,2.78,-6.01
16:59:05,2.07,-6.01
16:59:06,2.24,-6.01
16:59:07,2.95,-6.01
16:59:08,2.78,-6.01
16:59:09,2.42,-6.01
16:59:10,2.07,-6.01
16:59:11,2.07,-6.01
16:59:12,2.07,-6.18
16:59:13,2.07,-6.01
16:59:14,2.07,-6.18
16:59:15,1.89,-6.01
16:59:16,1.89,-6.01
16:59:17,2.24,-6.01
16:59:18,2.42,-6.01
16:59:19,2.24,-6.01
16:59:20,1.89,-6.01
16:59:22,2.07,-6.01
16:59:23,2.24,-6.01
16:59:24,2.42,-6.01
16:59:25,2.6,-6.01
16:59:26,1.89,-6.01
16:59:27,2.24,-6.01
16:59:28,2.07,-6.18
16:59:29,2.07,-6.18
16:59:30,2.24,-6.01
16:59:31,2.78,-6.18
16:59:32,2.6,-6.01
16:59:33,2.78,-6.01
16:59:34,2.07,-6.18
16:59:35,2.07,-6.01
16:59:36,2.42,-6.01
16:59:37,2.07,-6.18
16:59:38,2.42,-6.01
16:59:39,2.42,-6.01
16:59:40,2.07,-6.01
16:59:41,2.24,-6.01
16:59:42,2.42,-6.01
16:59:43,2.24,-6.01
16:59:45,2.78,-6.01
16:59:46,2.07,-6.01
16:59:47,2.42,-6.01
16:59:48,2.42,-6.01
16:59:49,2.24,-6.01
16:59:50,2.07,-6.01
16:59:51,2.07,-6.01
